Recipe Name,source,link,minutes_to_prepare,cuisine,Ingredients: Produce,Ingredients: Spices and Seasonings,Ingredients: Condiments,Ingredients: Pasta and Rice,Ingredients: Beverages,Ingredients: Ethnic Foods,Ingredients: Bakery/Bread,Ingredients: Frozen,Ingredients: Refrigerated,Ingredients: Alcoholic Beverages,Ingredients: Pantry,Ingredients: Dairy
Lentil Fritters (Parippu Vada),Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/QL3GLKHQ/lentil-fritters-parippu-vada,45,,"green chillies,shallots,ginger",asafoetida,,,,"chana dal,curry leaves",,,,,oil,
Oatmeal Pancake (Yummy & Heart Healthy),Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/X436YP3G/oatmeal-pancake-yummy-heart-healthy,45,,blueberries,,,,,agave,,,,,"all purpose flour,maple syrup,irish oats,baking powder","fat-free milk,egg whites"
"Orecchiette with Brown Butter, Broccoli, Pine Nuts, and Basil",Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/HSHX7NDR/orecchiette-with-brown-butter-broccoli-pine-nuts-and-basil,45,,"broccoli florets,basil leaves,pine nuts,lemon juice",,,orecchiette,,,,,,,extra virgin olive oil,
Fried Brown Rice,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/SFXY6WMQ/fried-brown-rice,25,,"carrots,crimini mushrooms,fresh ginger,garlic,green beans,scallions,zucchini squash",,,cooked brown rice,,"sesame oil,soy sauce",,,,,brown sugar,eggs
Ratatouille With Brie,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/YKQ5H3TL/ratatouille-with-brie,45,Mediterranean,"eggplant,zucchini,yellow squash,plum tomatoes,thyme",,,,,,,,,,olive oil,brie
Baked Sweet Potato Fries With Yogurt and Chipotle Pepper,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/PGX788YF/baked-sweet-potato-fries-with-yogurt-and-chipotle-pepper,45,American,sweet potatoes,,,,,,,,,,"oil,chipotle peppers,roasted pepitas",plain greek yogurt
Baked Sweet Potato Fries With Yogurt,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/QGDKF78V/baked-sweet-potato-fries-with-yogurt,45,American,sweet potatoes,,,,,,,,,,"oil,chipotle peppers,roasted pepitas",plain greek yogurt
Warm Open-Faced Mushroom Brie Sandwich,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/FYSJ5JZK/warm-open-faced-mushroom-brie-sandwich,45,,"cremini mushrooms,garlic,fresh basil,arugula",,,,,,multi grain bread,,,,olive oil,brie cheese
Cuke & Radish Sandwich with Lemon-Herb Goat Cheese Spread,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/6D5RKNVZ/cuke-radish-sandwich-with-lemon-herb-goat-cheese-spread,45,,"baby spinach,cucumber,fresh chives,lemon zest,bell pepper,radishes",,,,,,bread,,,,"red wine vinegar,olive oil","greek yogurt,goat cheese"
Pumpkin French Toast,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/7GBXXW87/pumpkin-french-toast,20,American,,"cinnamon,nutmeg,pumpkin pie spice",,,,,bread,,,,"brown sugar,pumpkin puree,maple syrup,vanilla","eggs,milk"
Bar Nuts,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/5HNJCC4B/bar-nuts,45,,,"cayenne,rosemary leaves",,,,,,,,,"dark brown sugar,almonds",butter
Vegan Peanut Butter Chocolate Cheesecake,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/NSL7DK32/vegan-peanut-butter-chocolate-cheesecake,45,,,cinnamon,,,water,"agar,agave,agave nectar",,,extra firm tofu,,"creamy peanut butter,almonds,cocoa powder,coconut oil,maple syrup,vanilla extract,peanut butter,dates",soy milk
